`CASE IDENTIFICATION NUMBER',telephne,city,county,ethcode,centract,HIGH PERCENTAGE BLACK TRACT,SAMPLING FRAME,`PARTICIPATE IN 1984 ELECTION',REGISTRATION STATUS IN 1984,PARTY REGISTRATION STATUS OF INDIVI,`CONTRIBUTE $$ TO POLITICAL UNIT IN 84',`EXHIBIT STICKER OR POSTER IN 84',`POLI WORK ON CAMPAIGN 84',`ATTENDED POLITICAL RALLY 84',MICHIGAN PARTYID,`CMCATE OPINION TO ELECTED OFFICIALS',`CMCATE OPINION TO NEWSMEDIA',`WORKED WITH GROUP AGAINST PROBLEM',COMMUNITY ORGANIZATION PROBLEM,TYPE OF COMM. ORG. PROBLEM,RELIGIOUS AFFILIATION,EVANGELICAL PROTESTANTS,PROTESTANT DENOMINATION,`LEVEL OF EDUCATION COMPLETED',`MARITAL STATUS',`HAVE CHILDREN',`NUMBER OF CHILDREN',`NUMBER OF CHILDREN IN SCHOOL',`WILL CHILDREN GO TO COLLEGE',`MOST IMP SOURCE OF INCOME',`IMP INCOME-EARNER''S RELSHIP TO RESP',`RESPONDENT''S EMPLOYMENT STATUS IN 84',`RESPONDENT''S OCCUPATION',`RESPONDENT UNEMPLOYED IN 84',`RESPONDENT''S UNION MEMBERSHIP',`RELATIVE''S EMPLOYMENT STATUS IN 84',`RELATIVE''S OCCUPATION',`RELATIVE UNEMPLOYED IN 84',`RELATIVE''S UNION MEMBERSHIP',HEAD OF HOUSEHOLD EMPLOYMENT STATUS,HEAD OF HOUSEHOLD OCCUPATION,HEAD OF HOUSEHOLD UNEMPLOYED IN 84,HEAD OF HOUSEHOLD'S UNION MEMBERSHIP,`RACIAL GROUP -- RGROUP1',natnlity,ETHNIC IDENTIFICATION,ASIAN-AMERICAN GROUPS,HISPANIC GROUP ID,`BIGGEST PROBLEM OF USA',`SPECIAL PROBLEMS OF RGROUP1',`BIGGEST PROBLEM OF RGROUP1',`GOVT REQD TO SOLVE PROBLEM OF RGRP1',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP1',`IF OTHER GRP TO SOLVE PROBLEM OF RGRP1',`ANY OTHER GROUP OF ID OR RGROUP2',`OTHER GROUP OF ID OR RGROUP2',`BIGGEST PROBLEM OF RGROUP2',`GOVT REQD TO SOLVE PROBLEM OF RGRP2',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP2',`IF OTHR GRP TO SOLVE PROBLEM OF RGRP2',`GROUPS WITH FEWER OPPORTUNITIES',`GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES' 2,`OTHER GROUP WITH FEWER OPPORTUNITIES' 3,`GROUPS WITH MORE OPPORTUNITIES',`GROUP WITH MORE OPPORTUNITIES',`OTHER GROUP WITH MORE OPPORTUNITIES',`GROUPS WITH MORE OPPORTUNITIES' 2,`GROUPS WITH MORE OPPORTUNITIES' 3,`AMERICANS PREJUDICED TO RGROUP1',`PARTICULAR GROUP PREJUDICED TO RGROUP1',`PERSONAL EXPERIENCE OF DISCRIMINATION',`SITUATION OF DISCRIMINATION',`FUTURE AMOUNT OF PREJUDICE',`INCREASED MILITARY SPENDING',`EQUAL RIGHTS AMENDMENT',`TAX CREDIT FOR PAROCHIAL-PVT SCHOOL',`PRAYER IN PUBLIC SCHOOL',`INCREASED SPENDING ON WELFARE',`BAN FED SPENDING ON ABORTIONS',`BAN HANDGUNS',`DEATH PENALTY FOR MURDER',`AMNESTY FOR ILLEGAL IMMIGRATION',`USE OF EMPLOYER SANCTIONS',`BILINGUAL EDUCATION PROGRAMS',`BILINGUAL BALLOTS',`VIEWS ON ABORTION',`RESPONDENT''S COUNTRY OF BIRTH',`IF PARENTS BORN IN US',`COUNTRY OF FATHER''S BIRTH',`COUNTRY OF MOTHER''S BIRTH',`SOCIAL LINKS WITH COUNTRY OF ORIGIN',`MONEY SENT HOME TO CTRY OF ORIGIN',`INTENTION TO SETTLE IN US',yentry,`IF US CITIZEN YET',`STATE IN US WHERE RESPONDENT WAS BORN',`GENERATION ENTERING CALIFORNIA',`SOCIAL LINKS WITH STATE:ORIGIN IN US',`PRIMARY NON-ENGLISH LANGUAGE',`USED BALLOT OF OTHER LANGUAGE IN 1984',yyrborn,`HOME OWNER OR RENTER',`INCOME LEVEL',`PRESIDENTIAL VOTE CHOICE 84',`IMPORTANCE OF VOTING',`SEX OF RESPONDENT',`CO-OPERATION OF RESPONDENT',`INFORMATION LEVEL OF RESPONDENT',`SINCERITY OF RESPONDENT',IMMIGRANT GENERATION,NON-ENG PRIMARY LANG OR SPAN INTERVIEW,`SPANISH LANGUAGE INTERVIEWS',`PRIMARY LANG: NON-ENGLISH OR SPANISH'
667,707795,58,97,J,151202,0,ASIAN SURNAME,NO,REGISTERED,REPUBLICAN,NO,NO,NO,NO,LEANING REPUBLICAN,NEVER,SELDOM,YES,MISC,MISCELLANEOUS,BUDDHIST,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,WORKING,LABORER,NO,NO,ASIAN,JAPANESE,ASIAN-AMERICAN,JAPANESE,NON-HISPANIC,THREAT/NUCLEAR WAR,YES,WWII REPARATIONS,GOVT ACTION REQD,FED GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,AMERICAN INDIANS,DK/NA,INAP,INAP,YES,WHITES,DK/NA,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,FAVOR,OPPOSE,DK/NA,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,65,OWN,"$10,000-15,000",INAP,IMPORTANT,MALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
668,415635,65,1,H,4094,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,LEANING REPUBLICAN,FREQUENTLY,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME HIGH SCHOOL,MARRIED,YES,4 CHILDREN,2 CHILDREN,SOME WILL/SOME WON'T,RESPONDENT,INAP,UNEMPLOYED/LAID OFF,INAP,INAP,NO,INAP,INAP,INAP,INAP,UNEMPLOYED/LAID OFF,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,YES,MEXI-AMS/HISPANICS,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,YES,DK/NA,INAP,INAP,INAP,YES,WHITES,DK/NA,INAP,INAP,SOME ARE,BLACKS,YES,GETTIN HOUSE-APARTM,WON'T CHANGE MUCH,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,MEXICO,INAP,INAP,INAP,YES,YES,DK/NA,71,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,57,RENT/DO NOT OWN,"$10,000-15,000",INAP,IMPORTANT,FEMALE,GOOD,VERY LOW,USUALLY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
669,213248,67,37,H,3003,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,INDEPENDENT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,WHITE,ITALIAN,WHITE,INAP,NON-HISPANIC,"DRUGS, ALCOHOLISM",NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,NO OPINION,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,NO,EUROPE/WHITE SETTLER,EUROPE/WHITE SETTLER,INAP,INAP,INAP,100,INAP,NY,INAP,NO,INAP,INAP,25,OWN,"$40,000-60,000",REAGAN,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
670,213392,69,37,K,2735,0,ASIAN SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,STRONG REPUBLICAN,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,SOME COLLEGE,DIVORCED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,OPERATIVES,YES,NO,INAP,INAP,INAP,INAP,WORKING,OPERATIVES,YES,NO,WHITE,AMERICAN INDIAN,OTHER/W ASIAN/AM IND,INAP,NON-HISPANIC,"DRUGS, ALCOHOLISM",NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,NO OPINION,FAVOR,FAVOR,FAVOR,NO OPINION,FAVOR,OPPOSE,FAVOR,NO OPINION,FAVOR,OPPOSE,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,61,OWN,DK/NA,INAP,IMP IF INTEREST AFF,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
671,619697,80,73,N,3107,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,REPUBLICAN,YES,NO,NO,NO,STRONG REPUBLICAN,SELDOM,NEVER,YES,TRAFFIC CONTROL,"TRANSIT, TRAFFIC",CHRISTIAN:GENERAL,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,2 CHILDREN,2 CHILDREN,WILL GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,NO,WORKING,SERVICE WORKER,NO,NO,WHITE,ENGLISH,WHITE,INAP,NON-HISPANIC,LACK:RELI/MORALITY,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,MINORITIES,DK/NA,INAP,INAP,YES,WHITES,"IMMIGRANTS, REFUGEES",DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,VA,INAP,YES,INAP,INAP,51,OWN,"$25,000-30,000",REAGAN,IMPORTANT,FEMALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
672,209823,86,77,H,5109,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,HIGH SCHOOL GRAD,MARRIED,YES,1 CHILD,1 CHILD,WILL GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,UNION,WORKING,CRAFTSMEN,NO,UNION,WHITE,NO ETHNIC/NAT ID,NOT ASCERTAINED,INAP,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,NO OPINION,OPPOSE,OPPOSE,FAVOR,DK/NA,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,56,RENT/DO NOT OWN,DK/NA,INAP,DK/NA,FEMALE,GOOD,AVERAGE,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
673,714888,11,71,H,50,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,LEANING DEMOCRAT,NEVER,NEVER,YES,SCHOOL PROBS,EDUCATION,PROTESTANT,NOT EVANGELICAL,OTHER PROTESTANT,SOME COLLEGE,MARRIED,YES,2 CHILDREN,2 CHILDREN,WILL GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,NO,WORKING,SERVICE WORKER,NO,NO,WHITE,IRISH,WHITE,INAP,NON-HISPANIC,ECO:GEN,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,MAYBE/DEPENDS,BLACKS,DK/NA,INAP,INAP,YES,WELFARE RECIPIENTS,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,NO OPINION,FAVOR,NO OPINION,FAVOR,FAVOR,NO OPINION,NO OPINION,FAVOR,FAVOR,NO OPINION,FAVOR,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,KS,INAP,YES,INAP,INAP,41,OWN,"$15,000-20,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
674,619469,80,73,N,3107,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,REPUBLICAN,YES,NO,NO,NO,WEAK REPUBLICAN,NEVER,NEVER,YES,MISC NGHBRHOOD ISSUES,MISCELLANEOUS,PROTESTANT,NOT EVANGELICAL,LUTHERAN,SOME COLLEGE,WIDOWED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,NO,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,NO,WHITE,NO ETHNIC/NAT ID,NOT ASCERTAINED,INAP,NON-HISPANIC,UNEMPLOYMENT,YES,PROBS IN IRELAND,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,MEXI-AMS/HISPANICS,DK/NA,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,FAVOR,OPPOSE,NO OPINION,FAVOR,FAVOR,FAVOR,NO OPINION,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,AZ,INAP,YES,INAP,INAP,12,OWN,"$25,000-30,000",REAGAN,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
675,209439,52,19,H,4402,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,0-8 YEARS,MARRIED,YES,MORE THAN 5 CHILDREN,1 CHILD,WILL GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,RETIRED,INAP,INAP,NO,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,YES,ASIAN AMERICANS,DK/NA,INAP,INAP,SOME ARE,UPPER/MIDDLE CLASS,NO,INAP,LESS PREJUDICED,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,NO OPINION,ONLY IF RAPE/INCEST,U.S.,NO,U.S.,MEXICO,INAP,INAP,INAP,100,INAP,AZ,INAP,YES,SPANISH,INAP,17,OWN,"LESS THAN $10,000",INAP,IMPORTANT,FEMALE,FAIR,FAIRLY LOW,USUALLY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
676,619465,80,73,N,3107,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,REPUBLICAN,YES,NO,NO,NO,STRONG REPUBLICAN,SELDOM,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,0-8 YEARS,MARRIED,YES,3 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,CRAFTSMEN,NO,NO,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,NO,WHITE,ENGLISH,WHITE,INAP,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,NO OPINION,FAVOR,FAVOR,OPPOSE,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,VT,INAP,YES,INAP,INAP,40,OWN,"$15,000-20,000",REAGAN,IMPORTANT,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
677,714897,70,59,H,99904,0,HISPANIC SURNAME,YES,REGISTERED,REPUBLICAN,NO,YES,NO,NO,STRONG REPUBLICAN,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,HIGH SCHOOL GRAD,MARRIED,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,CRAFTSMEN,NO,NO,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,NO,OTHER,CUBAN,HISPANIC,INAP,NON-MEXICAN,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,NO OPINION,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,LATIN/C AMERICA,INAP,INAP,INAP,YES,NO,DK/NA,67,CITIZEN,ZZ,INAP,DK/NA,SPANISH,YES,34,RENT/DO NOT OWN,"$10,000-15,000",REAGAN,IMPORTANT,FEMALE,GOOD,FAIRLY LOW,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
678,213935,56,37,N,2201,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,YES,NO,NO,NO,STRONG DEMOCRAT,SELDOM,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,GRADUATE WORK,DIVORCED,NO,INAP,INAP,INAP,RESPONDENT,INAP,OTHER,INAP,INAP,NO,INAP,INAP,INAP,INAP,OTHER,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,HIGH TAXES,YES,UNEMPLOYMENT,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,YES,WORKING WOMEN,HIGH COST OF LIVING,NO GOVT ACTION REQD,INAP,GROUP WORK TOGETHER,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,YES,ALL THE ABOVE 1-4,WON'T CHANGE MUCH,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,43,OWN,"$15,000-20,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
679,213899,67,37,H,104102,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,YES,NO,NO,YES,INDEPENDENT,NEVER,SELDOM,YES,SCHOOL PROBS,EDUCATION,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,MARRIED,YES,2 CHILDREN,2 CHILDREN,WILL GO,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,OTHER,NO,DK/NA,WORKING,OTHER,NO,DK/NA,DK/NA,99,NOT ASCERTAINED,INAP,NON-HISPANIC,DK/NA,YES,DK/NA,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,DK/NA,INAP,INAP,INAP,DK/NA,DK/NA,DK/NA,100,DK/NA,ZZ,INAP,DK/NA,INAP,INAP,100,DK/NA,DK/NA,INAP,DK/NA,FEMALE,POOR,VERY LOW,PERHAPS INSINCERE,DK/NA,DK/NA,ENG LANG INTERVIEWS,DK/NA
680,415755,21,81,N,6005,0,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,EVANGELICAL,BAPTIST,SOME COLLEGE,DIVORCED,YES,1 CHILD,1 CHILD,WILL GO,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,UNEMPLOYMENT,YES,UNEMPLOYMENT,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,DK/NA,NO,INAP,WON'T CHANGE MUCH,OPPOSE,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,TX,INAP,YES,INAP,INAP,51,RENT/DO NOT OWN,"$15,000-20,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
681,213721,66,37,H,530002,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,YES,NO,NO,YES,INDEPENDENT,DK/NA,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,MARRIED,YES,2 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,JEWS,DK/NA,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,NO OPINION,OPPOSE,FAVOR,OPPOSE,NO OPINION,NO OPINION,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,ONLY IF RAPE/INCEST,U.S.,NO,MEXICO,MEXICO,INAP,INAP,INAP,100,INAP,AZ,INAP,NO,INAP,INAP,29,OWN,"OVER $60,000",REAGAN,IMPORTANT,MALE,GOOD,FAIRLY HIGH,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
682,415525,65,1,N,4206,0,OTHER,YES,REGISTERED,DEMOCRAT,NO,YES,NO,NO,STRONG DEMOCRAT,FREQUENTLY,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,METHODIST,SOME COLLEGE,MARRIED,YES,3 CHILDREN,NO CHILDREN,INAP,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,RETIRED,INAP,INAP,UNION,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,UNION,WHITE,NO ETHNIC/NAT ID,NOT ASCERTAINED,INAP,NON-HISPANIC,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,WOMEN,DK/NA,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,OPPOSE,FAVOR,OPPOSE,OPPOSE,DK/NA,OPPOSE,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,28,OWN,"$15,000-20,000",MONDALE,IMPORTANT,FEMALE,GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
683,213797,66,37,N,4604,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,SELDOM,DK/NA,0,INAP,JEWISH,NOT PROTESTANT,0,GRADUATE WORK,MARRIED,YES,2 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,WHITE,AUSTRIAN,WHITE,INAP,NON-HISPANIC,TOO MUCH DEF EXPENDI,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,NO OPINION,NO OPINION,OPPOSE,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,NO,EUROPE/WHITE SETTLER,EUROPE/WHITE SETTLER,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,22,OWN,"OVER $60,000",MONDALE,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
